Senats-id,GridViewFreiPlaetze,GridViewPlatzstrukturen_Altersmischung,GridViewPlatzstrukturen_angeboten,GridViewPlatzstrukturen_frühestes Aufnahmealter in Monaten,GridViewPlatzstrukturen_unter 3 Jahre,GridViewPlatzstrukturen_über 3 Jahre,HLinkEMail,HLinkWeb,lblAngeboteText,lblBesondereAngebote,lblEMailText,lblEinrichtungsart,lblFreiePlaetzeText,lblKitaname,lblMehrsprachigkeit,lblMehrsprachigkeitText,lblOeffText,lblOeffnungDienstag,lblOeffnungDonnerstag,lblOeffnungFreitag,lblOeffnungMittwoch,lblOeffnungMontag,lblOeffnungSonnabend,lblOrt,lblPaedAnsaetze,lblPaedAnsaetzeText,lblPaedSchwerpunkte,lblPaedSchwerpunkteText,lblPlatzstrukturenText,lblStellenangeboteText,lblStrasse,lblTelefon,lblTelefonText,lblThemSchwerpunkte,lblThemSchwerpunkteText,lblTraegerName,lblTraegerart,lblTraegerartText,lblVerantwortlich,lblWebText,PLZ,Ort,Stadtteil,Traegerart,Telefon,lat,lon,address_zum_vergleich_nochmal
440129,Ja, ,15,12,2,13,ourania@gmx.org,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Ourania,deutsch - griechisch,Mehrsprachigkeit,Öffnungszeiten,Di 08:00-17:00,Do 08:00-17:00,Fr 08:00-16:00,Mi 08:00-17:00,Mo 08:00-17:00,,10715 Berlin (Charlottenburg-Wilmersdorf),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Tübinger Str. 9 ,15777537177,Telefon,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung",Thematische Schwerpunkte,Ourania e. V.,(EKT),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10715,Berlin,Charlottenburg-Wilmersdorf,EKT,01577 7537177,52.4805571,13.3307591,"9, Tübinger Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10715, Deutschland"
632279,Nein, ,30,0, , ,arbolitos@tukita.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Arbolitos,,,Öffnungszeiten,,,,,,,12437 Berlin (Treptow-Köpenick),,,,,Plätze,Stellenangebote,Baumschulenstr. 103 ,0157 88809010,Telefon,,,tuKita gemeinnützige UG (haftungsbeschränkt),(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,12437,Berlin,Treptow-Köpenick,Sonstiger freier Träger,01578 8809010,52.4689043,13.4907883,"103, Baumschulenstraße, Baumschulenweg, Treptow-Köpenick, Berlin, 12437, Deutschland"
757229,Nein, ,22,0, , ,info@greta-und-julica.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kinderhafen Spreeräuber,,,Öffnungszeiten,,,,,,,10245 Berlin (Friedrichshain-Kreuzberg),,,,,Plätze,Stellenangebote,Am Speicher 6 ,0163 3023324,Telefon,,,GRETA und JULICA gGmbH,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10245,Berlin,Friedrichshain-Kreuzberg,Sonstiger freier Träger,0163 3023324,52.4958625,13.4751884,"6, Am Speicher, Stralau, Fhain, Friedrichshain-Kreuzberg, Berlin, 10245, Deutschland"
2523,Nein, ,39,14,14,25,info@waldkindergarten-berlin.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Schildower Str.20,,,Öffnungszeiten,,,,,,,13159 Berlin (Pankow),,,,,Plätze,Stellenangebote,Schildower Str. 20 ,1636134758,Telefon,Natur- und Umweltpädagogik,Thematische Schwerpunkte,Waldkindergarten Pankow e.V.,(EKT),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13159,Berlin,Pankow,EKT,0163 6134758,52.6284321,13.3875699,"20, Schildower Straße, Blankenfelde, Pankow, Berlin, 13159, Deutschland"
598279,Nein, ,0,36,0,0,info@waldkindergarten-berlin.de,,,,E-Mail,Waldkindergarten,Freie Plätze,Waldkindergarten/Waldgruppe,,,Öffnungszeiten,,,,,,,13159 Berlin (Pankow),,,,,Plätze,Stellenangebote,Schildower Str. 20 ,1636134758,Telefon,Natur- und Umweltpädagogik,Thematische Schwerpunkte,Waldkindergarten Pankow e.V.,(EKT),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13159,Berlin,Pankow,EKT,0163 6134758,52.6284321,13.3875699,"20, Schildower Straße, Blankenfelde, Pankow, Berlin, 13159, Deutschland"
386129,Nein, ,17,0,0,17,,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,Kinderladen Mumpelmonster,,,Öffnungszeiten,,,,,,,10247 Berlin (Friedrichshain-Kreuzberg),Situationsansatz,Pädagogische Ansätze,"bilingual (deutsch-englisch), Situationsansatz",Pädagogische Schwerpunkte,Plätze,Stellenangebote,Voigtstr. 26 ,0170 1741050,Telefon,,,Mumpelmonster e. V.,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10247,Berlin,Friedrichshain-Kreuzberg,Sonstiger freier Träger,0170 1741050,52.5193542,13.4691876,"26, Voigtstraße, Fhain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland"
299,Nein, ,13,0,5,8,,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,EKT Optimisten,,,Öffnungszeiten,,,,,,,10967 Berlin (Friedrichshain-Kreuzberg),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Grimmstr. 1A ,0170 4983820,Telefon,,,Eikita Optimisten e. V.,(EKT),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10967,Berlin,Friedrichshain-Kreuzberg,EKT,0170 4983820,52.4945483,13.4142449,"1A, Grimmstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland"
670279,Nein, ,30,0, , ,,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Glückskinder Stralauer Allee,,,Öffnungszeiten,,,,,,,10245 Berlin (Friedrichshain-Kreuzberg),,,,,Plätze,Stellenangebote,Stralauer Allee 18 ,0170 5477042,Telefon,,,Glückskinder UG (haftungsbeschränkt),(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10245,Berlin,Friedrichshain-Kreuzberg,Sonstiger freier Träger,0170 5477042,52.4984396,13.4620203,"Sparkasse, 18, Stralauer Allee, Fhain, Friedrichshain-Kreuzberg, Berlin, 10245, Deutschland"
336129,Nein, ,25,0,0,25,,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Sophienstraße,,,Öffnungszeiten,,,,,,,10317 Berlin (Lichtenberg),,,,,Plätze,Stellenangebote,Sophienstr. 8 ,0170 5510312,Telefon,,,Spieltraum gemeinnützige UG (haftungsbeschränkt),(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10317,Berlin,Lichtenberg,Sonstiger freier Träger,0170 5510312,52.525176,13.4021523,"8, Sophienstraße, Scheunenviertel, Mitte, Alt-Berlin, Berlin, 10178, Deutschland"
691229,Nein, ,150,0, , ,info@kita-wunderkinder.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Wunderkinder,,,Öffnungszeiten,,,,,,,10367 Berlin (Lichtenberg),,,,,Plätze,Stellenangebote,Paul-Zobel-Str. 9 ,0172 3129944,Telefon,,,blu:boks Kinder- und Jugendbildung gemeinnützige GmbH,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10367,Berlin,Lichtenberg,Sonstiger freier Träger,0172 3129944,52.5250934,13.4832146801,"9/10, Paul-Zobel-Straße, Fennpfuhl, Lichtenberg, Berlin, 10367, Deutschland"
603229,Nein, ,18,0, , ,,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita auf 4 Pfoten,,,Öffnungszeiten,,,,,,,14199 Berlin (Charlottenburg-Wilmersdorf),,,,,Plätze,Stellenangebote,Weinheimer Str. 11 ,0172 4382258,Telefon,,,"Kita auf 4 Pfoten gemeinnützige UG
(haftungsbeschränkt)",(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,14199,Berlin,Charlottenburg-Wilmersdorf,Sonstiger freier Träger,0172 4382258,52.480647,13.2925931,"11, Weinheimer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, Berlin, 14199, Deutschland"
680229,Nein, ,30,0, , ,kita@masakids.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Villa Her(t)zstraße,,,Öffnungszeiten,,,,,,,13158 Berlin (Pankow),,,,,Plätze,Stellenangebote,Hertzstr. 15 ,0172 7639565,Telefon,,,"MASAkids gemeinnützige
Unternehmergesellschaft (haftungsbeschränkt)",(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13158,Berlin,Pankow,Sonstiger freier Träger,0172 7639565,52.584738,13.3658121,"15, Hertzstraße, Wilhelmsruh, Pankow, Berlin, 13158, Deutschland"
563279,Nein, ,23,11,9,14,SKAgUG@gmx.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Zitterbacke,,,Öffnungszeiten,Di 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,Mi 07:00-17:00,Mo 07:00-17:00,,13156 Berlin (Pankow),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Dietzgenstr. 55 ,1729503085,Telefon,Körper und Bewegung,Thematische Schwerpunkte,SKA Kita gemeinnützige UG (haftungsbeschränkt),(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13156,Berlin,Pankow,Sonstiger freier Träger,0172 9503085,52.5857672,13.4023149,"55, Dietzgenstraße, Niederschönhausen, Pankow, Berlin, 13156, Deutschland"
264129,Nein, ,22,0,10,12,rocknrollzwerge@gmx.de,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,Kinderladen Rock'n'Roll Zwerge,,,Öffnungszeiten,Di 08:00-16:00,Do 08:00-16:00,Fr 08:00-16:00,Mi 08:00-16:00,Mo 08:00-16:00,,10247 Berlin (Friedrichshain-Kreuzberg),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Rigaer Str. 14 ,0173/3549069,Telefon,,,Rock'n'Roll Zwerge e. V.,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10247,Berlin,Friedrichshain-Kreuzberg,Sonstiger freier Träger,0173 3549069,52.5175682,13.4577771,"14, Rigaer Straße, Fhain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland"
612229,Nein, ,25,0, , ,info@lieblingskinder.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Humboldts Lieblingskinder,,,Öffnungszeiten,,,,,,,13509 Berlin (Reinickendorf),,,,,Plätze,Stellenangebote,Hatzfeldtallee 14 ,0173 6185323,Telefon,,,"Lieblingskinder gemeinnützige
Unternehmergesellschaft 
(haftungsbeschränkt)",(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13509,Berlin,Reinickendorf,Sonstiger freier Träger,0173 6185323,52.5921536,13.2910815,"14, Hatzfeldtallee, Tegel, Reinickendorf, Berlin, 13509, Deutschland"
734229,Nein, ,37,0, , ,anja.freyer@akf-office.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Benjamin Blume,,,Öffnungszeiten,Di 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,Mi 08:00-17:00,Mo 08:00-17:00,,12247 Berlin (Steglitz-Zehlendorf),,,,,Plätze,Stellenangebote,Kaiser-Wilhelm-Str. 20 /22,0173 7042904,Telefon,,,"Kita Benjamin Blume gUG
(haftungsbeschränkt)",(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,12247,Berlin,Steglitz-Zehlendorf,Sonstiger freier Träger,0173 7042904,52.4433215,13.3538608,"Kaiser-Wilhelm-Straße, Steglitz, Steglitz-Zehlendorf, Berlin, 12247, Deutschland"
473329,Nein, ,25,12,10,15,bekila-ev@web.de,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,EKT Luna Sternenstaub,,,Öffnungszeiten,Di 07:30-17:00,Do 07:30-17:00,Fr 07:30-16:00,Mi 07:30-17:00,Mo 07:30-17:00,,10318 Berlin (Lichtenberg),,,,,Plätze,Stellenangebote,Liepnitzstr. 42 ,1737616677,Telefon,,,BeKiLa e. V.,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10318,Berlin,Lichtenberg,Sonstiger freier Träger,0173 7616677,52.479805,13.5145301,"42, Liepnitzstraße, Karlshorst, Lichtenberg, Berlin, 10318, Deutschland"
635229,Nein, ,12,3,12,0,bmbf-berlin@froebel-gruppe.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita BMBF,,,Öffnungszeiten,Di 08:00-18:00,Do 08:00-18:00,Fr 08:00-18:00,Mi 08:00-18:00,Mo 08:00-18:00,,10117 Berlin (Mitte),,,Sonstiges,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Kapelle-Ufer 2 ,1741612869,Telefon,,,Fröbel Bildung und Erziehung gGmbH,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10117,Berlin,Mitte,Sonstiger freier Träger,0174 1612869,52.5235558,13.3724246,"Kapelle-Ufer, Mitte, Berlin, 10117, Deutschland"
606279,Nein, ,121,0, , ,d.stolt@asb-berlin.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,ASB Hugenottenhofkita Berlin,,,Öffnungszeiten,,,,,,,13127 Berlin (Pankow),,,,,Plätze,Stellenangebote,Hauptstr. 13 ,0174 3422862,Telefon,,,ASB Kinder- und Jugendhilfe Berlin gGmbH,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13127,Berlin,Pankow,Sonstiger freier Träger,0174 3422862,52.4880409,13.3577356,"13, Hauptstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland"
256179,Nein, ,25,0,0,25,,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Milchzahnbande,,,Öffnungszeiten,,,,,,,10317 Berlin (Lichtenberg),,,,,Plätze,Stellenangebote,Stadthausstr. 3 ,1744646215,Telefon,,,Elternverein Milchzahnbande e. V. Erzieher-Eltern-Verein,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10317,Berlin,Lichtenberg,Sonstiger freier Träger,0174 4646215,52.5023302,13.4812518,"3, Stadthausstraße, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland"
699279,Ja, ,100,12,34,66,m.perazzo@drachenreiter.berlin,www.drachenreiter.berlin/kitaamalex,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita am Alex,,,Öffnungszeiten,Di 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,Mi 07:00-18:00,Mo 07:00-18:00,,10178 Berlin (Mitte),"Ansatz von Emmi Pikler, Situationsansatz",Pädagogische Ansätze,"Ansatz von Emmi Pikler, Situationsansatz",Pädagogische Schwerpunkte,Plätze,Stellenangebote,Wadzeckstr. 4 ,1752126980,Telefon,"Gesundheit, Integration von Kindern mit Behinderung, Körper und Bewegung",Thematische Schwerpunkte,Drachenreiter gemeinnützige GmbH,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10178,Berlin,Mitte,Sonstiger freier Träger,0175 2126980,52.5251887,13.4161883,"Wadzeckstraße, Scheunenviertel, Mitte, Alt-Berlin, Berlin, 10178, Deutschland"
425129,Nein, ,21,12,8,13,kitaspreepferdchen@googlemail.com,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,EKT Spreepferdchen,,,Öffnungszeiten,Di 07:45-16:45,Do 07:45-16:45,Fr 07:45-16:45,Mi 07:45-16:45,Mo 07:45-16:45,,14197 Berlin (Charlottenburg-Wilmersdorf),Waldorfpädagogik,Pädagogische Ansätze,Waldorfpädagogik,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Laubacher Str. 35 ,17580708028,Telefon,Natur- und Umweltpädagogik,Thematische Schwerpunkte,Spreepferdchen - waldorforientierte Kita e.V.,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,14197,Berlin,Charlottenburg-Wilmersdorf,Sonstiger freier Träger,0175 80708028,52.4753691,13.3200241,"35, Laubacher Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 14197, Deutschland"
2761,Nein, ,32,0,12,20,,,,,E-Mail,Kindertagesstätte,Freie Plätze,Waldkindergarten Robin Hood,,,Öffnungszeiten,Di 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,Mi 08:00-17:00,Mo 08:00-17:00,,13156 Berlin (Pankow),,,,,Plätze,Stellenangebote,Dietzgenstr. 66 ,0176 20681074,Telefon,,,Robin Hood e.V.,(EKT),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13156,Berlin,Pankow,EKT,0176 20681074,52.5870016,13.402155,"66, Dietzgenstraße, Niederschönhausen, Pankow, Berlin, 13156, Deutschland"
