Senats-id,lblKitaname,lblEinrichtungsart,lblTraegerName,lblTraegerart,lblStrasse,lblOrt,HLinkEMail,HLinkWeb,lblOeffnungMontag,lblOeffnungDienstag,lblOeffnungMittwoch,lblOeffnungDonnerstag,lblOeffnungFreitag,lblPaedSchwerpunkte,lblMehrsprachigkeit,lblThemSchwerpunkte,lblBesondereAngebote,GridViewPlatzstrukturen_angeboten,GridViewPlatzstrukturen_frühestes Aufnahmealter in Monaten,GridViewPlatzstrukturen_unter 3 Jahre,GridViewPlatzstrukturen_über 3 Jahre,PLZ,Ort,Stadtteil,lat,lon,address_zum_vergleich_nochmal
36,Kita Oase,Kita,Pfefferwerk Stadtkultur gGmbH,(Sonstiger freier Träger),Kastanienallee 63A ,10119 Berlin (Mitte),oase@pfefferwerk.de,www.pfefferwerk.de,Mo 07:00-17:30,Di 07:00-17:30,Mi 07:00-17:30,Do 07:00-17:30,Fr 07:00-17:30,,,,,90,2,43,47,10119,Berlin,Mitte,52.5345348,13.4058424,"63A, Kastanienallee, Scheunenviertel, Mitte, Berlin, 10119, Deutschland"
37,Kita St. Elisabeth,Kita,"Ev. Kirchenkreisverband 
für Kindertageseinrichtungen Berlin Mitte-Nord
",(Sonstiger freier Träger),Elisabethkirchstr. 21 ,10115 Berlin (Mitte),st.elisabeth-kita@evkvbmn.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,,,125,0,0,125,10115,Berlin,Mitte,52.5333749,13.3967014,"21, Elisabethkirchstraße, Scheunenviertel, Mitte, Berlin, 10115, Deutschland"
38,Zions-Kindergarten,Kita,"Ev. Kirchenkreisverband 
für Kindertageseinrichtungen Berlin Mitte-Nord
",(Sonstiger freier Träger),Griebenowstr. 16 ,10435 Berlin (Mitte),zion-kita@evkvbmn.de,,Mo 06:30-17:00,Di 06:30-17:00,Mi 06:30-17:00,Do 06:30-17:00,Fr 06:30-17:00,,,,,85,0,0,85,10435,Berlin,Mitte,52.5344922,13.4036235,"Dietrich-Bonhoeffer-Mahnmal, 16, Griebenowstraße, Scheunenviertel, Mitte, Berlin, 10119, Deutschland"
39,Ev. Kita Sophien,Kita,"Ev. Kirchenkreisverband 
für Kindertageseinrichtungen Berlin Mitte-Nord
",(Sonstiger freier Träger),Große Hamburger Str. 28 ,10115 Berlin (Mitte),sophien-kita@evkvbmn.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,,,84,0,0,84,10115,Berlin,Mitte,52.5250701,13.399211,"Viel Spiel, 28, Große Hamburger Straße, Scheunenviertel, Mitte, Berlin, 10115, Deutschland"
42,Kita Habersaathstraße,Kita,INA.KINDER.GARTEN gGmbH,(Sonstiger freier Träger),Habersaathstr. 5 ,10115 Berlin (Mitte),habersaathstrasse@inakindergarten.de,www.inakindergarten.de,Mo 06:00-20:30,Di 06:00-20:30,Mi 06:00-20:30,Do 06:00-20:30,Fr 06:00-20:30,Situationsansatz,,,,90,2,32,58,10115,Berlin,Mitte,52.53150735,13.3743928285,"INA.KINDER.GARTEN Habersaathstraße, 5, Habersaathstraße, Mitte, Berlin, 10115, Deutschland"
49,Kita Fürstenberger Str. 4/5/Kigä City,Kita,Kindergärten City,(Eigenbetrieb),Fürstenberger Str. 4 ,10435 Berlin (Mitte),Kita.Fuerstenberger@ba-fk.berlin.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,,,180,2,60,120,10435,Berlin,Mitte,52.537079,13.405087,"Städt. Kita Fürstenberger Straße, 4, Fürstenberger Straße, Scheunenviertel, Mitte, Berlin, 10435, Deutschland"
56,Am Hain,Kita,Kindergärten NordOst,(Eigenbetrieb),Am Friedrichshain 18A ,10407 Berlin (Pankow),kindergarten.am-friedrichshain@kigaeno.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,,,80,0,26,54,10407,Berlin,Pankow,52.529495,13.4299378,"18A, Am Friedrichshain, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland"
60,Kita Sonnenmäuse/Kigä NordOst,Kita,Kindergärten NordOst,(Eigenbetrieb),Conrad-Blenkle-Str. 46 ,10407 Berlin (Pankow),kindergarten.conrad-blenkle-strasse@kigaeno.de,,Mo 06:00-17:30,Di 06:00-17:30,Mi 06:00-17:30,Do 06:00-17:30,Fr 06:00-17:30,,,,,163,0,59,104,10407,Berlin,Pankow,52.5317194,13.445669,"46, Conrad-Blenkle-Straße, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland"
61,Kita Gerne Groß/Kigä NordOst,Kita,Kindergärten NordOst,(Eigenbetrieb),Dänenstr. 22 ,10439 Berlin (Pankow),kindergarten.daenenstrasse@kigaeno.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,,,,,60,0,25,35,10439,Berlin,Pankow,52.5498924,13.4050458,"22, Dänenstraße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
63,Kita Prenzelberger Schwalbennest/Kigä NordOst,Kita,Kindergärten NordOst,(Eigenbetrieb),Diesterwegstr. 10 ,10405 Berlin (Pankow),kindergarten.diesterwegstrasse@kigaeno.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,Situationsansatz,,,,185,0,47,138,10405,Berlin,Pankow,52.53949,13.4277529,"10, Diesterwegstraße, Ernst-Thälmann-Park, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland"
64,Kita Drieselmäuse,Kita,Forum Soziale Dienste GmbH,(Sonstiger freier Träger),Driesener Str. 24 ,10439 Berlin (Pankow),kita.drieselmaeuse@forum-soziale-dienste.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,,,65,0,30,35,10439,Berlin,Pankow,52.5515428,13.4055847,"24, Driesener Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
67,Kindergarten am Hirschhof,Kita,NETZWERK SPIEL/KULTUR Prenzlauer Berg e. V.,(Sonstiger freier Träger),Eberswalder Str. 11 ,10437 Berlin (Pankow),masore.barz@netzwerkspielkultur.de,www.kindergarten-am-hirschhof.de,Mo 06:30-18:00,Di 06:30-18:00,Mi 06:30-18:00,Do 06:30-18:00,Fr 06:30-18:00,Situationsansatz,,,,94,0,38,56,10437,Berlin,Pankow,52.5406254,13.4076285,"11, Eberswalder Straße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
68,Kita Haus Eldekids,Kita,KLAX Berlin gGmbH,(Sonstiger freier Träger),Eldenaer Str. 46 ,10247 Berlin (Pankow),elements@klax-kita.de,www.klax-kita.de,Mo 07:00-18:00,Di 07:00-18:00,Mi 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,,,,,133,0,10,123,10247,Berlin,Pankow,52.5203568,13.4603374,"Kita Elements, 46, Eldenaer Straße, Berlin, 10247, Deutschland"
71,Kita Räuberbande/Kigä NordOst,Kita,Kindergärten NordOst,(Eigenbetrieb),Ella-Kay-Str. 6 ,10405 Berlin (Pankow),kindergarten.ella-kay-strasse@kigaeno.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,Situationsansatz,,,5 Plätze,35,36,5,30,10405,Berlin,Pankow,52.5388877,13.4298975,"6, Ella-Kay-Straße, Ernst-Thälmann-Park, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland"
83,Kita Bambinioase,Kita,MAHALE Familien- und Servicemanagement gGmbH,(Sonstiger freier Träger),Hans-Otto-Str. 40A ,10407 Berlin (Pankow),hans-otto@mahale-ggmbh.de,www.mahale-ggmbh.de/kita-bambinioase.html,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,Reggio-Pädagogik,,,,194,3,95,99,10407,Berlin,Pankow,52.5322296,13.4387036,"40A, Hans-Otto-Straße, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland"
86,Kindergarten Sonnenhügel,Kita,NETZWERK SPIEL/KULTUR Prenzlauer Berg e. V.,(Sonstiger freier Träger),John-Schehr-Str. 35 ,10407 Berlin (Pankow),stahlberg@netzwerkspielkultur.de,,Mo 06:30-18:00,Di 06:30-18:00,Mi 06:30-18:00,Do 06:30-18:00,Fr 06:30-18:00,Situationsansatz,,,,200,0,80,120,10407,Berlin,Pankow,52.5359216,13.4387464,"35, John-Schehr-Straße, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland"
87,Kindergarten Käthe,Kita,NETZWERK SPIEL/KULTUR Prenzlauer Berg e. V.,(Sonstiger freier Träger),Käthe-Niederkirchner-Str. 29 ,10407 Berlin (Pankow),kienast@netzwerkspielkultur.de,www.kindergarten-kaethe.de,Mo 07:00-18:00,Di 07:00-18:00,Mi 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,Situationsansatz,,,,53,0,20,33,10407,Berlin,Pankow,52.5307832,13.4319518657,"29, Käthe-Niederkirchner-Straße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland"
90,Kita Kritzelknirpse,Kita,Pfefferwerk Stadtkultur gGmbH,(Sonstiger freier Träger),Lychener Str. 55 ,10437 Berlin (Pankow),kritzelknirpse@pfefferwerk.de,www.pfefferwerk.de,Mo 07:00-17:30,Di 07:00-17:30,Mi 07:00-17:30,Do 07:00-17:30,Fr 07:00-17:30,,,,,135,2,49,86,10437,Berlin,Pankow,52.5449169,13.4187575,"55, Lychener Straße, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
91,Kita Stargarder Straße,Kita,Pfefferwerk Stadtkultur gGmbH,(Sonstiger freier Träger),Stargarder Str. 19 ,10437 Berlin (Pankow),,,Mo 07:00-17:30,Di 07:00-17:30,Mi 07:00-17:30,Do 07:00-17:30,Fr 07:00-17:30,,,,, ,0,0, ,10437,Berlin,Pankow,52.5457517,13.4195795,"19, Stargarder Straße, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
98,Kita Freche Früchtchen,Kita,KVPB Kindertagesstätten gGmbH,(Sonstiger freier Träger),Paul-Robeson-Str. 12 ,10439 Berlin (Pankow),frechefruechtchen@kvpb.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,,,60,0,28,32,10439,Berlin,Pankow,52.552623,13.4094616,"Kita Freche Früchtchen, 12, Paul-Robeson-Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
101,Kita Prenzlauer Berg,Kita,INA.KINDER.GARTEN gGmbH,(Sonstiger freier Träger),Prenzlauer Berg 15 ,10405 Berlin (Pankow),prenzlauerberg@inakindergarten.de,www.inakindergarten.de,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,Situationsansatz,,,,200,3,74,126,10405,Berlin,Pankow,52.5280219,13.4212993,"15, Prenzlauer Berg, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland"
103,"Klax Krippen Regentropfenhaus und Wolkenzwerge;Klax Kindergärten Sternschnuppenhaus, Sonnenhaus und Wirbelwind",Kita,KLAX Berlin gGmbH,(Sonstiger freier Träger),Scherenbergstr. 1 ,10439 Berlin (Pankow),"regentropfenhaus@klax-krippe.de, sternschnuppenhaus@klax-kita.de",www.klax-online.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,,,270,0,110,160,10439,Berlin,Pankow,52.5496211,13.4192326,"1, Scherenbergstraße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
104,Kita der Kath. Kirchengem. Heilige Familie,Kita,Kath. Kirchengemeinde Heilige Familie,(Deutscher Caritasverband),Kuglerstr. 40 ,10439 Berlin (Pankow),kita.heilige.familie@t-online.de,,Mo 06:00-17:30,Di 06:00-17:30,Mi 06:00-17:30,Do 06:00-17:30,Fr 06:00-17:30,,,,,120,12,30,90,10439,Berlin,Pankow,52.5517175,13.4204546,"40, Kuglerstraße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
105,Kita Helmistrolche,Kita,Hanna gGmbH Kita-Trägerschaften,(Sonstiger freier Träger),Lettestr. 4 - 5,10437 Berlin (Pankow),lette@hanna-ggmbh.de,www.hanna-ggmbh.de,Mo 07:00-17:30,Di 07:00-17:30,Mi 07:00-17:30,Do 07:00-17:30,Fr 07:00-17:30,Situationsansatz,,,,72,10,17,55,10437,Berlin,Pankow,52.5432723,13.4192989,"Lettestraße, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
106,Kita Tigerenten/Kigä NordOst,Kita,Kindergärten NordOst,(Eigenbetrieb),Schönhauser Allee 165 ,10435 Berlin (Pankow),kindergarten.schoenhauser-allee@kigaeno.de,,Mo 07:00-17:30,Di 07:00-17:30,Mi 07:00-17:30,Do 07:00-17:30,Fr 07:00-17:30,Situationsansatz,,,10 Plätze,75,12,31,44,10435,Berlin,Pankow,52.5346014,13.4118534,"Schule am Senefelderplatz, 165, Schönhauser Allee, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10435, Deutschland"
108,Kita Zum klingenden Bäumchen,Kita,Jugendwerk Aufbau Ost JAO gGmbH,(Sonstiger freier Träger),Dänenstr. 8 ,10439 Berlin (Pankow),kita-zum-klingenden-baeumchen@jao-berlin.de,www.jao-berlin.de,Mo 06:00-17:00,Di 06:00-17:00,Mi 06:00-17:00,Do 06:00-17:00,Fr 06:00-17:00,Situationsansatz,deutsch - spanisch,,,55,12,19,36,10439,Berlin,Pankow,52.5499679,13.4106007,"8, Dänenstraße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
109,Humanistische Kita Prenzlzwerge,Kita,"Humanistischer Verband Deutschlands,
Landesverband Berlin-Brandenburg e. V.",(Sonstiger freier Träger),Stahlheimer Str. 27 ,10439 Berlin (Pankow),prenzlzwerge@humanistischekitas.de,www.humanistischekitas.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,,,111,2,0,111,10439,Berlin,Pankow,52.5492349,13.4205065912,"Kita Prenzl' Zwerg, 27, Stahlheimer Straße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
111,Humanistische Kita Mühlengeister,Kita,"Humanistischer Verband Deutschlands,
Landesverband Berlin-Brandenburg e. V.",(Sonstiger freier Träger),Thomas-Mann-Str. 17 -19,10409 Berlin (Pankow),muehlengeister@humanistischekitas.de,www.humanistischekitas.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,,,150,2,0,150,10409,Berlin,Pankow,52.5425774,13.443202,"Thomas-Mann-Straße, Prenzlauer Berg, Pankow, Berlin, 10409, Deutschland"
113,Kita Schivelbeiner Str. 12/Kigä NordOst,Kita,Kindergärten NordOst,(Eigenbetrieb),Schivelbeiner Str. 12 ,10439 Berlin (Pankow),kindergarten.schivelbeiner-strasse@kigaeno.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,,,195,0,60,135,10439,Berlin,Pankow,52.5516214,13.4068575,"12, Schivelbeiner Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
117,Kath. Kita St. Augustinus/Kath.Kirchengem. Heilige Familie,Kita,Kath. Kirchengemeinde Heilige Familie,(Deutscher Caritasverband),Dänenstr. 17 - 18,10439 Berlin (Pankow),kita-st.augustinus@gmx.de,www.kita-augustinus.de,Mo 06:30-17:00,Di 06:30-17:00,Mi 06:30-17:00,Do 06:30-17:00,Fr 06:30-17:00,,,,,45,12,10,35,10439,Berlin,Pankow,52.5501863,13.4068066,"St. Augustinus Kirche, 17/18, Dänenstraße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
118,Kita Elias,Kita,"Ev. Kirchenkreisverband 
für Kindertageseinrichtungen Berlin Mitte-Nord
",(Sonstiger freier Träger),Göhrener Str. 11 ,10437 Berlin (Pankow),elias-kita@evkvbmn.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,,,46,0,0,46,10437,Berlin,Pankow,52.5406638,13.4207548,"11, Göhrener Straße, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
119,Kita Gethsemane,Kita,"Ev. Kirchenkreisverband 
für Kindertageseinrichtungen Berlin Mitte-Nord
",(Sonstiger freier Träger),Greifenhagener Str. 2 ,10437 Berlin (Pankow),gethsemane-kita@evkvbmn.de,,Mo 06:30-17:00,Di 06:30-17:00,Mi 06:30-17:00,Do 06:30-17:00,Fr 06:30-17:00,,,,englische Gruppe,63,0,0,63,10437,Berlin,Pankow,52.5445845,13.4147308,"2, Greifenhagener Straße, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
120,Kita der Ev. Kirchengem. Immanuel,Kita,Ev. Kirchengemeinde Immanuel,(Diakonisches Werk),Immanuelkirchstr. 1A ,10405 Berlin (Pankow),kita@immanuelgemeinde.de,,Mo 07:30-17:30,Di 07:30-17:30,Mi 07:30-17:30,Do 07:30-17:30,Fr 07:30-17:30,,,,,45,0,0,45,10405,Berlin,Pankow,52.5327431,13.4218357,"1a, Immanuelkirchstraße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland"
122,Evangelische Kita Arche,Kita,Stephanus Bildung gGmbH,(Sonstiger freier Träger),Schönhauser Allee 104 ,10439 Berlin (Pankow),brigitte.tedeski@stephanus-stiftung.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,,,50,12,7,43,10439,Berlin,Pankow,52.552717,13.4138772,"Evang. KitaArche, 104, Schönhauser Allee, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
123,Evangelische Kita Winsstraße,Kita,Stephanus Bildung gGmbH,(Sonstiger freier Träger),Winsstr. 24 ,10405 Berlin (Pankow),brigitte.tedeski@stephanus-stiftung.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,,,50,30,7,43,10405,Berlin,Pankow,52.5348383,13.4264635,"24, Winsstraße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland"
124,EKT - Erdnuckel,Eltern-Initiativ-Kita,Erdnuckel e.V.,(EKT),Choriner Str. 30 ,10435 Berlin (Pankow),,,Mo 08:00-17:00,Di 08:00-17:00,Mi 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,Situationsansatz,,,,19,0,1,18,10435,Berlin,Pankow,52.5357939,13.4099167,"EKT - Erdnuckel e.V., 30, Choriner Straße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10435, Deutschland"
125,EKT - Villa Kunterbund,Eltern-Initiativ-Kita,Kunter - Bund e.V.,(EKT),Dunckerstr. 21 ,10437 Berlin (Pankow),,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,,,27,0,0,27,10437,Berlin,Pankow,52.5439628,13.4223,"21, Dunckerstraße, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
130,Kita Gleimstrolche,Kita,KVPB Kindertagesstätten gGmbH,(Sonstiger freier Träger),Gleimstr. 46 ,10437 Berlin (Pankow),,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,,,220,0,65,155,10437,Berlin,Pankow,52.5473655,13.4063755,"46, Gleimstraße, Gleimviertel, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
135,Kita Prenzelberger Spielmäuse/Kigä NordOst,Kita,Kindergärten NordOst,(Eigenbetrieb),Pappelallee 41A ,10437 Berlin (Pankow),Kindergarten.pappelallee@kigaeno.de,,Mo 07:00-18:00,Di 07:00-18:00,Mi 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,,,,,200,0,40,160,10437,Berlin,Pankow,52.54688375,13.4197328206,"Kita Prenzlberger Spielmäuse, 41a, Pappelallee, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland"
