,lblKitaname,lblEinrichtungsart,lblTraegerName,lblTraegerart,lblStrasse,lblOrt,HLinkEMail,HLinkWeb,lblOeffnungMontag,lblOeffnungDienstag,lblOeffnungMittwoch,lblOeffnungDonnerstag,lblOeffnungFreitag,lblOeffnungSonnabend,lblOeffnungSonntag,lblPaedSchwerpunkte,lblPaedAnsaetze,lblMehrsprachigkeitText,lblMehrsprachigkeit,lblThemSchwerpunkte,lblBesondereAngebote,GridViewFreiPlaetze,GridViewPlatzstrukturen_Altersmischung,GridViewPlatzstrukturen_angeboten,GridViewPlatzstrukturen_frühestes Aufnahmealter in Monaten,GridViewPlatzstrukturen_unter 3 Jahre,GridViewPlatzstrukturen_über 3 Jahre,PLZ,Ort,Stadtteil,lat,lon,address_zum_vergleich_nochmal
1359,Kindergarten Muna,Eltern-Initiativ-Kindertagesstätte,IKT Stadtindianer e.V.,(Sonstiger freier Träger),Homburgstr. 17 ,12309 Berlin (Tempelhof-Schöneberg),muna@stadtindianer.org,www.stadtindianer.org/einrichtungen/kita/muna/,Mo 07:30-17:00,Di 07:30-17:00,Mi 07:30-17:00,Do 07:30-17:00,Fr 07:30-17:00,,,Situationsansatz,Situationsansatz,,,Ästhetische Bildung (Musik und Kunst),,Nein, ,21,12,0,21,12309,Berlin,Tempelhof-Schöneberg,52.3992639,13.416899,"17, Homburgstraße, Lichtenrade, Tempelhof-Schöneberg, Berlin, 12309, Deutschland"
1361,EKT - Lichtenrader Dreckspatzen,Eltern-Initiativ-Kindertagesstätte,Lichtenrader Dreckspatzen e.V.,(EKT),Lintruper Str. 57 ,12305 Berlin (Tempelhof-Schöneberg),vorstand@lichtenrader-dreckspatzen.de,www.lichtenrader-dreckspatzen.de,Mo 07:30-16:30,Di 07:30-16:30,Mi 07:30-16:30,Do 07:30-16:30,Fr 07:30-16:00,,,Montessori-Pädagogik,Montessori-Pädagogik,,,Integration von Kindern mit Behinderung,,Nein, ,5,24,5,0,12305,Berlin,Tempelhof-Schöneberg,52.408637,13.4028599,"57, Lintruper Straße, Lichtenrade, Tempelhof-Schöneberg, Berlin, 12305, Deutschland"
1352,EKT Jungadler,Eltern-Initiativ-Kindertagesstätte,Jungadler e.V.,(EKT),Tirschenreuther Ring 69 ,12279 Berlin (Tempelhof-Schöneberg),info@kita-jungadler.de,,Mo 07:00-16:00,Di 07:00-16:00,Mi 07:00-16:00,Do 07:00-16:00,Fr 07:00-16:00,,,Montessori-Pädagogik,Montessori-Pädagogik,,,"Interkulturelle Pädagogik, Natur- und Umweltpädagogik",,Ja, , ,36,0, ,12279,Berlin,Tempelhof-Schöneberg,52.4097587,13.3541342,"69, Tirschenreuther Ring, Marienfelde, Tempelhof-Schöneberg, Berlin, 12279, Deutschland"
2731,Kita Breitensteinweg,Kindertagesstätte,Nachbarschaftsheim Schöneberg e.V.,(Sonstiger freier Träger),Breitensteinweg 33 ,14165 Berlin (Steglitz-Zehlendorf),kita-breitensteinweg@nbhs.de,www.kita-breitensteinweg.nbhs.de,Mo 06:00-17:00,Di 06:00-17:00,Mi 06:00-17:00,Do 06:00-17:00,Fr 06:00-17:00,,,Situationsansatz,Situationsansatz,,,"Integration von Kindern mit Behinderung, Natur- und Umweltpädagogik",,Nein, ,100,2,43,57,14165,Berlin,Steglitz-Zehlendorf,52.41054615,13.2573316847,"Kindertagesstätte Breitensteinweg, 33, Breitensteinweg, Zehlendorf, Steglitz-Zehlendorf, Berlin, 14165, Deutschland"
2763,EKT Jungadler,Eltern-Initiativ-Kindertagesstätte,Jungadler e.V.,(EKT),Waldsassener Str. 16 ,12279 Berlin (Tempelhof-Schöneberg),info@kita-jungadler.de,,Mo 07:00-16:00,Di 07:00-16:00,Mi 07:00-16:00,Do 07:00-16:00,Fr 07:00-16:00,,,Montessori-Pädagogik,Montessori-Pädagogik,,,"Interkulturelle Pädagogik, Natur- und Umweltpädagogik",,Nein, ,10,6,10,0,12279,Berlin,Tempelhof-Schöneberg,52.4112529,13.3494784,"16, Waldsassener Straße, Marienfelde, Tempelhof-Schöneberg, Berlin, 12279, Deutschland"
2949,Kita im Familienzentrum,Kindertagesstätte,Leben mit Kindern gGmbH,(Sonstiger freier Träger),Waldsassener Str. 9 ,12279 Berlin (Tempelhof-Schöneberg),kita-marienfelde@lemiki.de,,Mo 06:30-17:00,Di 06:30-17:00,Mi 06:30-17:00,Do 06:30-17:00,Fr 06:30-17:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,105,11,20,85,12279,Berlin,Tempelhof-Schöneberg,52.4131335,13.3501546,"9, Waldsassener Straße, Marienfelde, Tempelhof-Schöneberg, Berlin, 12279, Deutschland"
454129,CJD Kita an der Milchstraße,Kindertagesstätte,Christliches Jugenddorfwerk Deutschlands e.V.,(Sonstiger freier Träger),Schönefelder Chaussee 187 - 187a,12524 Berlin (Treptow-Köpenick),kita.milchstrasse@cjd-berlin.de,www.cjd-berlin.de,Mo 06:00-17:00,Di 06:00-17:00,Mi 06:00-17:00,Do 06:00-17:00,Fr 06:00-17:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung",,Nein, ,180,2,60,120,12524,Berlin,Treptow-Köpenick,52.4157353,13.531416,"Schönefelder Chaussee, Altglienicke, Treptow-Köpenick, Siedlung Grüneck, Berlin, 12524, Deutschland"
1341,Ev. Dreikönigs-Kita,Kindertagesstätte,Leben mit Kindern gGmbH,(Sonstiger freier Träger),Kirchstr. 31 ,12277 Berlin (Tempelhof-Schöneberg),dreikoenigs-kita@lemiki.de,,Mo 06:30-17:00,Di 06:30-17:00,Mi 06:30-17:00,Do 06:30-17:00,Fr 06:30-17:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,65,11,18,47,12277,Berlin,Tempelhof-Schöneberg,52.4167849,13.3695542,"31, Kirchstraße, Marienfelde, Tempelhof-Schöneberg, Berlin, 12277, Deutschland"
100041,Kita Mc Nair,Kindertagesstätte,Nachbarschaftsheim Schöneberg e.V.,(Sonstiger freier Träger),Harry-S.-Truman-Allee 1 ,14167 Berlin (Steglitz-Zehlendorf),kita-mcnair@nbhs.de,www.kita-mcnair.nbhs.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,Integration von Kindern mit Behinderung,,Nein, ,135,2,48,87,14167,Berlin,Steglitz-Zehlendorf,52.42098855,13.2827228831,"Kita McNair, 1, Harry-S.-Truman-Allee, Lichterfelde, Steglitz-Zehlendorf, Berlin, 14167, Deutschland"
2239,BOOT-Kita Wummelbude,Kindertagesstätte,Gemeinnützige BOOT GmbH,(Sonstiger freier Träger),Fercher Str. 10 -12,12629 Berlin (Marzahn-Hellersdorf),wummelbude@bootkitas.de,www.bootkitas.de,Mo 06:00-19:30,Di 06:00-19:30,Mi 06:00-19:30,Do 06:00-19:30,Fr 06:00-19:30,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Körper und Bewegung, Natur- und Umweltpädagogik, Theaterpädagogik",,Nein, ,210,2,77,133,12629,Berlin,Marzahn-Hellersdorf,52.4222719,13.2347327,"Fercher Straße, Zehlendorf, Steglitz-Zehlendorf, Berlin, 14165, Deutschland"
1527,EKT Trollkinder,Eltern-Initiativ-Kindertagesstätte,Eikita Trollkinder e.V.,(EKT),Stubenrauchstr. 115 ,12357 Berlin (Neukölln),info@kita-trollkinder.de,kita-trollkinder.de,Mo 07:00-16:00,Di 07:00-16:00,Mi 07:00-16:00,Do 07:00-16:00,Fr 07:00-16:00,,,Situationsansatz,Situationsansatz,,,Gesundheit,,Nein, ,15,12,3,12,12357,Berlin,Neukölln,52.4269855,13.4898344,"115, Stubenrauchstraße, Rudow, Neukölln, Berlin, 12357, Deutschland"
526229,Kita Derfflingerstraße,Kindertagesstätte,"hisa gemeinnützige Gesellschaft mit
beschränkter Haftung (hisa gGmbH)",(Sonstiger freier Träger),Derfflingerstr. 32 ,12249 Berlin (Steglitz-Zehlendorf),info@hisa-welt.de,www.hisa-welt.de,Mo 07:30-17:00,Di 07:30-17:00,Mi 07:30-17:00,Do 07:30-17:00,Fr 07:30-17:00,,,Montessori-Pädagogik,Montessori-Pädagogik,,,Körper und Bewegung,,Nein, ,65,12,24,41,12249,Berlin,Steglitz-Zehlendorf,52.429151,13.3384476,"hisa Kita, 32, Derfflingerstraße, Lankwitz, Steglitz-Zehlendorf, Berlin, 12249, Deutschland"
2579,EKT Giardino dei Bambini,Eltern-Initiativ-Kindertagesstätte,Giardino dei Bambini e. V.,(EKT),Normannenstr. 1 ,14129 Berlin (Steglitz-Zehlendorf),kontakt@giardino-dei-bambini.de,www.giardino-dei-bambini.de,Mo 08:00-16:00,Di 08:00-16:00,Mi 08:00-16:00,Do 08:00-16:00,Fr 08:00-16:00,,,"Ansatz von Emmi Pikler, Montessori-Pädagogik","Ansatz von Emmi Pikler, Montessori-Pädagogik",,,Natur- und Umweltpädagogik,,Ja, ,20,30,1,19,14129,Berlin,Steglitz-Zehlendorf,52.430769,13.195384,"1, Normannenstraße, Nikolassee, Steglitz-Zehlendorf, Berlin, 14129, Deutschland"
100018,Kita Kinderparadies,Kindertagesstätte,Kinderparadies gGmbH,(Sonstiger freier Träger),Dorfstr. 19A ,12621 Berlin (Marzahn-Hellersdorf),mail@kiga-kinderparadies.de,www.kiga-kinderparadies.de,Mo 06:00-17:00,Di 06:00-17:00,Mi 06:00-17:00,Do 06:00-17:00,Fr 06:00-17:00,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - englisch,"Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,32,8,10,22,12621,Berlin,Marzahn-Hellersdorf,52.4311138,13.6903145,"19A, Dorfstraße, Rahnsdorf, Treptow-Köpenick, Rahnsdorfer Mühle, Berlin, 12589, Deutschland"
467129,Kita Groß-Berliner Damm,Kindertagesstätte,24 Std. KiBe/Die wilden Knallerbsen e. V.,(Sonstiger freier Träger),Groß-Berliner Damm 33 - 37,12487 Berlin (Treptow-Köpenick),info@kita-diewildenknallerbsen.de,www.kita-diewildenknallerben.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,Gesundheit,,Nein, ,35,2,35,0,12487,Berlin,Treptow-Köpenick,52.4324025,13.5350284,"Groß-Berliner Damm, Adlershof, Treptow-Köpenick, Berlin, 12489, Deutschland"
611,BOOT-Kita Fritz-Werner,Kindertagesstätte,Gemeinnützige BOOT GmbH,(Sonstiger freier Träger),Fritz-Werner-Str. 43 ,12107 Berlin (Tempelhof-Schöneberg),fritz-werner@bootkitas.de,www.bootkitas.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,"Integration von Kindern mit Behinderung, Körper und Bewegung",,Nein, ,185,2,60,125,12107,Berlin,Tempelhof-Schöneberg,52.43268305,13.3839922856,"Städt. Kita Fritz-Werner-Straße 43, 43, Fritz-Werner-Straße, Mariendorf, Tempelhof-Schöneberg, Berlin, 12107, Deutschland"
507,Ev. Kita Schlachtensee,Kindertagesstätte,Leben mit Kindern gGmbH,(Sonstiger freier Träger),Dubrowplatz 4 ,14129 Berlin (Steglitz-Zehlendorf),schlachtensee@lemiki.de,www.lemiki.de,Mo 07:30-16:30,Di 07:30-16:30,Mi 07:30-16:30,Do 07:30-16:30,Fr 07:30-16:30,,,Situationsansatz,Situationsansatz,,,"Körper und Bewegung, Natur- und Umweltpädagogik, Religionspädagogik",,Nein, ,55,18,12,43,14129,Berlin,Steglitz-Zehlendorf,52.43540775,13.2205806,"Ev. Kita Schlachtensee, 4, Dubrowplatz, Zehlendorf, Steglitz-Zehlendorf, Berlin, 14129, Deutschland"
2770,Kindertagesstätte Knirpsenland,Kindertagesstätte,"Diakonische Arbeitsgemeinschaft 
Sozialpädagogischer Initiativen
DASI Berlin gGmbh",(Sonstiger freier Träger),Radickestr. 25 ,12489 Berlin (Treptow-Köpenick),kita-knirpsenland@dasi-berlin.net,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:00,,,Ansatz von Emmi Pikler,Ansatz von Emmi Pikler,,,Integration von Kindern mit Behinderung,,Nein, ,77,12,27,50,12489,Berlin,Treptow-Köpenick,52.4365966,13.5512056,"25, Radickestraße, Adlershof, Treptow-Köpenick, Berlin, 12489, Deutschland"
941,EKT - Dinglhopper,Eltern-Initiativ-Kindertagesstätte,Dinglhopper e.V.,(EKT),Mohriner Allee 67 ,12347 Berlin (Neukölln),info@dinglhopper.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung",,Nein, ,36,11,10,26,12347,Berlin,Neukölln,52.4409172,13.4241587098,"Gartencenter Deutscher, 67-71, Mohriner Allee, Britz, Neukölln, Berlin, 12347, Deutschland"
461129,Bude-Kids,Waldkindergarten,Sylvester e. V. Berlin,(Sonstiger freier Träger),Alfred-Randt-Str. 60 ,12559 Berlin (Treptow-Köpenick),bude-kids@sylvester-ev.de,,Mo 07:30-12:30,Di 07:30-12:30,Mi 07:30-12:30,Do 07:30-12:30,Fr 07:30-12:30,,,"Situationsansatz, Sonstiges",Situationsansatz,,,"Integration von Kindern mit Behinderung, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,15,24,0,15,12559,Berlin,Treptow-Köpenick,52.4411962,13.6063158,"60, Alfred-Randt-Straße, Salvador-Allende-Viertel II, Köpenick, Treptow-Köpenick, Berlin, 12559, Deutschland"
262179,Kita Felix and Friends,Kindertagesstätte,GFAJ e.V.,(Sonstiger freier Träger),Sterndamm 109 ,12487 Berlin (Treptow-Köpenick),felixandfriends@gfajev.de,www.gfajev.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - englisch,Integration von Kindern mit Behinderung,,Nein, ,45,0,18,27,12487,Berlin,Treptow-Köpenick,52.4423801,13.5019433,"109, Sterndamm, Johannisthal, Treptow-Köpenick, Berlin, 12487, Deutschland"
318179,Kinderladen Marienkäfer,Kindertagesstätte,"Kinderladen Marienkäfer gUG 
(haftungsbeschränkt)",(Sonstiger freier Träger),Prühßstr. 30 ,12105 Berlin (Tempelhof-Schöneberg),KILA-Marienkaefer.gug@gmx.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,Situationsansatz,Situationsansatz,,,Körper und Bewegung,,Nein, ,40,12,15,25,12105,Berlin,Tempelhof-Schöneberg,52.443023,13.3832386,"30, Prühßstraße, Mariendorf, Tempelhof-Schöneberg, Berlin, 12105, Deutschland"
322129,Kinderhaus kleine Entdecker,Kindertagesstätte,kleine Entdecker e. V.,(Sonstiger freier Träger),Kietzer Str. 5 ,12555 Berlin (Treptow-Köpenick),leitung@khke.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,"Ansatz von Emmi Pikler, Montessori-Pädagogik","Ansatz von Emmi Pikler, Montessori-Pädagogik",,,"Ästhetische Bildung (Musik und Kunst), Integration von Kindern mit Behinderung, Natur- und Umweltpädagogik",,Nein, ,20,12,10,10,12555,Berlin,Treptow-Köpenick,52.4450154,13.5774151,"5, Kietzer Straße, Altstadt Köpenick, Köpenick, Treptow-Köpenick, Berlin, 12555, Deutschland"
173179,"24 Std. Kinderbetreuung
Die wilden Knallerbsen",Eltern-Initiativ-Kindertagesstätte,24 Std. KiBe/Die wilden Knallerbsen e. V.,(Sonstiger freier Träger),Königsheideweg 285 ,12487 Berlin (Treptow-Köpenick),info@kita-diewildenknallerbsen.de,www.kita-diewildenknallerbsen.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung",,Nein, ,74,2,38,36,12487,Berlin,Treptow-Köpenick,52.4454568,13.509297,"Kita Die wilden Knallerbsen e.V., 285, Königsheideweg, Johannisthal, Treptow-Köpenick, Berlin, 12487, Deutschland"
1312,EKT - Blumenladen,Eltern-Initiativ-Kindertagesstätte,"EKT ""Blumenladen"" e. V.",(EKT),Moltkestr. 47 ,12203 Berlin (Steglitz-Zehlendorf),ektblumenladen@gmx.de,www.ekt-blumenladen.de,Mo 08:00-16:00,Di 08:00-16:00,Mi 08:00-16:00,Do 08:00-16:00,Fr 08:00-15:00,,,"Reggio-Pädagogik, Situationsansatz","Reggio-Pädagogik, Situationsansatz",,,"Integration von Kindern mit Behinderung, Körper und Bewegung",,Nein, ,19,18,5,14,12203,Berlin,Steglitz-Zehlendorf,52.44611765,13.3078279019,"47, Moltkestraße, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12203, Deutschland"
629229,Kindertagesstätte Schlösschen,Kindertagesstätte,LifExperience gemeinnützige Gesellschaft für Bildung Erziehung und Betreuung mbH,(Sonstiger freier Träger),Machonstr. 30 ,12105 Berlin (Tempelhof-Schöneberg),info@lifexperience.de,www.lifexperience.de,Mo 07:30-17:30,Di 07:30-17:30,Mi 07:30-17:30,Do 07:30-17:30,Fr 07:30-17:30,,,Situationsansatz,Situationsansatz,,,"Interkulturelle Pädagogik, Körper und Bewegung",,Ja, ,19,12,9,10,12105,Berlin,Tempelhof-Schöneberg,52.4479122,13.3818411,"30, Machonstraße, Mariendorf, Tempelhof-Schöneberg, Berlin, 12105, Deutschland"
2769,Kita DASI,Kindertagesstätte,"Diakonische Arbeitsgemeinschaft 
Sozialpädagogischer Initiativen
DASI Berlin gGmbh",(Sonstiger freier Träger),Peter-Hille-Str. 26 ,12587 Berlin (Treptow-Köpenick),kita-peter-hille@dasi-berlin-ast.de,www.dasi-berlin.de/kita-familie/zwergenland,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-17:00,,,Ansatz von Emmi Pikler,Ansatz von Emmi Pikler,,,Natur- und Umweltpädagogik,,Nein, ,94,10,27,67,12587,Berlin,Treptow-Köpenick,52.4535708,13.620825,"26, Peter-Hille-Straße, Friedrichshagen, Treptow-Köpenick, Berlin, 12587, Deutschland"
500229,EKT Matschmonster,Eltern-Initiativ-Kindertagesstätte,Matschmonster e.V.,(Sonstiger freier Träger),Britzer Damm 101 ,12347 Berlin (Neukölln),matschmonster.ev@hotmail.de,,Mo 08:00-17:00,Di 08:00-17:00,Mi 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,25,12,11,14,12347,Berlin,Neukölln,52.4538336,13.4383954,"101, Britzer Damm, Britz, Neukölln, Berlin, 12347, Deutschland"
